ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
13115,81,243,1032,1996,33,2,0,3,3,571,807,1845,1809,2,1,58,61,15,15,17,11,30,-0.457606682351344,-0.4553240194386477,0.2589461081290956,0.1551750799280286,11,1,1.3346517778620024,0.7473291722026011,-0.4707556537687819
12810,76,1236,3140,6843,42,2,1,7,0,764,896,337,336,3,3,59,94,51,15,54,16,100,-0.4441928708018853,-0.456577830368932,-0.4801945840905088,-0.1867418868455179,44,0,1.2982603646791386,1.3826642329384002,-0.471826919519875
70374,62,514,1672,2227,16,2,0,5,0,107,260,1972,1932,2,1,46,10,0,15,33,10,60,-0.3410289197790466,-0.3076309074995604,-0.2394421426615187,-0.1317909457569122,65,1,-0.2169457478437335,-0.463682681126069,-0.3649833202693489
11623,106,1236,3234,3694,28,2,1,7,0,764,896,522,521,2,1,59,60,15,38,31,11,30,-0.4497882037387173,-0.4318091923707546,0.0951555127306841,0.0819071584765543,10,1,-0.559686693820523,0.2257017507477677,-0.4379506667117248
81132,54,112,780,1008,9,2,0,6,0,209,37,1462,1460,2,5,2,131,66,24,52,7,300,-0.4499380787280967,-0.4280298897837784,0.1953593977334606,-0.1562135862407369,3,1,-0.6291612098968993,-0.3377374483798872,-0.4471878072447347
19263,68,1061,222,395,37,2,0,5,0,601,756,1198,1197,3,2,50,70,27,11,54,15,100,-0.4204626641501427,-0.1090450506364374,1.2737023002359866,0.0574845179927294,44,1,0.1535850045636063,-1.604838271757464,-0.0716384175219246
82933,54,870,4285,4614,9,2,1,7,0,685,896,970,969,2,1,59,175,84,15,33,10,30,-0.3460247527583608,-0.37134701232939,-0.3363570598852106,-0.1195796255149998,11,1,-0.5259419288691403,0.5831414598776193,-0.3435782178088292
12384,67,1236,6164,4889,37,2,1,7,0,764,896,139,138,2,1,59,145,74,15,19,10,60,-0.163002411561184,-0.3345144083546893,-0.4021364154669019,-0.1684249064826493,11,1,-1.71627197097772,-0.5182419519918238,-0.3355336183949606
83709,19,185,5336,5733,8,2,1,7,0,437,896,1702,1705,2,1,59,56,12,15,49,10,30,-0.4519863702496155,-0.4542983742358537,-0.4073987639134371,-0.1531607561802588,84,0,1.0587386997301085,1.1980805315047252,-0.4698663010697612
30842,51,543,1707,2146,42,2,0,5,0,159,170,1946,1923,2,5,46,112,59,15,25,2,60,-0.4376233504340871,-0.448352510921455,-0.4036712670971413,-0.1684249064826493,65,1,-0.0111688478460854,-1.6446104505194163,-0.4650759240318546
